Dates,Volume
31/3/00,430171
3/4/00,184916
4/4/00,224508
5/4/00,251667
6/4/00,196199
7/4/00,211116
10/4/00,155719
11/4/00,175287
12/4/00,199324
13/4/00,258832
14/4/00,190305
17/4/00,257746
18/4/00,303429
19/4/00,247935
20/4/00,123271
26/4/00,191907
27/4/00,264343
28/4/00,360465
1/5/00,192456
2/5/00,210910
3/5/00,227420
4/5/00,176037
5/5/00,192009
8/5/00,201937
9/5/00,199217
10/5/00,226060
11/5/00,287522
12/5/00,216751
15/5/00,187411
16/5/00,222414
17/5/00,284312
18/5/00,238515
19/5/00,207587
22/5/00,199424
23/5/00,206838
24/5/00,235947
25/5/00,219571
26/5/00,339157
29/5/00,153547
30/5/00,188558
31/5/00,409689
1/6/00,206304
2/6/00,204096
5/6/00,250086
6/6/00,241711
7/6/00,202473
8/6/00,206225
9/6/00,241261
13/6/00,231524
14/6/00,228423
15/6/00,227634
19/6/00,247632
20/6/00,333220
21/6/00,278632
22/6/00,304027
23/6/00,448282
26/6/00,404128
27/6/00,331934
28/6/00,327305
29/6/00,391344
30/6/00,601151
3/7/00,237226
4/7/00,262482
5/7/00,323612
6/7/00,294867
7/7/00,261442
10/7/00,189486
11/7/00,219752
12/7/00,279640
13/7/00,315773
14/7/00,230735
17/7/00,178136
18/7/00,249907
19/7/00,241641
21/7/00,208998
24/7/00,156755
25/7/00,204193
26/7/00,241231
27/7/00,221942
28/7/00,268530
31/7/00,193621
1/8/00,223905
2/8/00,307186
3/8/00,308500
4/8/00,246991
7/8/00,172329
8/8/00,236609
9/8/00,211785
10/8/00,226728
11/8/00,264052
14/8/00,171606
15/8/00,201460
16/8/00,228198
17/8/00,252680
18/8/00,232702
21/8/00,149011
22/8/00,225113
23/8/00,258073
24/8/00,325261
25/8/00,389760
28/8/00,196313
29/8/00,186509
30/8/00,278233
31/8/00,278279
1/9/00,267855
4/9/00,182546
5/9/00,172075
6/9/00,268346
7/9/00,273404
8/9/00,235669
11/9/00,202174
12/9/00,215490
13/9/00,254863
14/9/00,266845
15/9/00,239234
18/9/00,183259
19/9/00,231634
20/9/00,162698
21/9/00,179339
22/9/00,208762
25/9/00,155025
26/9/00,174325
27/9/00,193960
28/9/00,183055
29/9/00,276088
2/10/00,75270
3/10/00,216513
4/10/00,206724
5/10/00,257847
6/10/00,243296
9/10/00,198718
10/10/00,303277
11/10/00,244437
12/10/00,305069
13/10/00,285212
16/10/00,283297
17/10/00,237360
18/10/00,258501
19/10/00,271458
20/10/00,262851
23/10/00,258496
24/10/00,253425
25/10/00,319967
26/10/00,264011
27/10/00,298208
30/10/00,217357
31/10/00,272652
1/11/00,240794
2/11/00,235966
3/11/00,213187
6/11/00,188763
7/11/00,220874
8/11/00,326391
9/11/00,256698
10/11/00,243722
13/11/00,209488
14/11/00,252678
15/11/00,295906
16/11/00,284821
17/11/00,236910
20/11/00,186023
21/11/00,195700
22/11/00,238847
23/11/00,230686
24/11/00,291653
27/11/00,200945
28/11/00,228768
29/11/00,240793
30/11/00,254500
1/12/00,236019
4/12/00,161107
5/12/00,298732
6/12/00,295245
7/12/00,286951
8/12/00,251566
11/12/00,232672
12/12/00,270020
13/12/00,267662
14/12/00,252328
15/12/00,262305
18/12/00,190620
19/12/00,256830
20/12/00,206713
21/12/00,243903
22/12/00,289953
27/12/00,109191
28/12/00,126801
29/12/00,245472
2/1/01,99586
3/1/01,143258
4/1/01,226484
5/1/01,240970
8/1/01,206266
9/1/01,283688
10/1/01,273049
11/1/01,265384
12/1/01,234773
15/1/01,201800
16/1/01,285417
17/1/01,287349
18/1/01,296596
19/1/01,306261
22/1/01,244865
23/1/01,300402
24/1/01,217964
25/1/01,237738
29/1/01,318761
30/1/01,255867
31/1/01,289107
1/2/01,287858
2/2/01,228126
5/2/01,193962
6/2/01,280958
7/2/01,295564
8/2/01,238182
9/2/01,246015
12/2/01,228074
13/2/01,247933
14/2/01,237399
15/2/01,278162
16/2/01,302246
19/2/01,160020
20/2/01,243822
21/2/01,269353
22/2/01,282772
23/2/01,369447
26/2/01,241959
27/2/01,245873
28/2/01,291260
1/3/01,297339
2/3/01,269445
5/3/01,317964
6/3/01,255120
7/3/01,281773
8/3/01,332735
9/3/01,299504
12/3/01,217543
13/3/01,297519
14/3/01,292791
15/3/01,326734
16/3/01,257885
19/3/01,231716
20/3/01,274086
21/3/01,291650
22/3/01,282472
23/3/01,281611
26/3/01,320918
27/3/01,347144
28/3/01,376337
29/3/01,434097
30/3/01,509835
2/4/01,256263
3/4/01,406766
4/4/01,359068
5/4/01,350116
6/4/01,425375
9/4/01,220438
10/4/01,302729
11/4/01,392812
12/4/01,373366
17/4/01,256421
18/4/01,327849
19/4/01,425787
20/4/01,329689
23/4/01,276872
24/4/01,280148
26/4/01,320047
27/4/01,379178
30/4/01,307668
1/5/01,371005
2/5/01,355934
3/5/01,327596
4/5/01,285975
7/5/01,221739
8/5/01,245616
9/5/01,312553
10/5/01,311194
11/5/01,272376
14/5/01,228347
15/5/01,295809
16/5/01,317215
17/5/01,406241
